name,total amount (4/1),rc_qty,rc_price,shopify_qty,shopify_price,__key__,shopify value,rc value,notes,touched_rc,touched_shopify,rare_find_id,pending_rc_update,inventory_item_id,variant_id,pending_shopify_update,shopify_inventory_id,__orig_idx__,slug
Dragon Majesty Special Collection [Salamence GX],0.0,0.0,459.99,0.0,489.99,dragon majesty special collection [salamence gx],,249.99,,True,True,13401.0,False,44634.0,46489240109276.0,False,48587535155420.0,188,dragon-majesty-special-collection-salamence-gx-ca5b499a
Dragon Majesty Special Collection [White Kyurem GX],1.0,0.0,249.99,0.0,244.99,dragon majesty special collection [white kyurem gx],,249.99,,True,True,13400.0,False,44633.0,46489242173660.0,False,48587537219804.0,189,dragon-majesty-special-collection-white-kyurem-gx-d28d8e64
Dragon Shield Matte Anniversary Special Edition Sleeves [100 Count],,0.0,19.99,0.0,13.49,dragon shield matte anniversary special edition sleeves [100 count],,,,True,True,16082.0,False,53966.0,46611493355740.0,False,48708819222748.0,190,dragon-shield-matte-anniversary-special-edition-sleeves-100-count-e693bd2c
Dragon Shield Matte Apple Green Sleeves [100 Count],,3.0,11.95,0.0,11.75,dragon shield matte apple green sleeves [100 count],,,,True,True,15942.0,False,53986.0,46611493421276.0,False,48708819288284.0,191,dragon-shield-matte-apple-green-sleeves-100-count-aea27117
Dragon Shield Matte Aurora Sleeves [100 Count],,10.0,12.95,0.0,12.25,dragon shield matte aurora sleeves [100 count],,,,True,True,15927.0,False,54000.0,46611493486812.0,False,48708819353820.0,192,dragon-shield-matte-aurora-sleeves-100-count-2033de63
Dragon Shield Matte Blood Red Sleeves [100 Count],,15.0,11.99,15.0,11.49,dragon shield matte blood red sleeves [100 count],239.8,599.5,,True,True,13409.0,False,44642.0,46410859380956.0,False,48509202694364.0,193,dragon-shield-matte-blood-red-sleeves-100-count-0d5d2380
Dragon Shield Matte Blue Sleeves [100 Count],,44.0,11.99,45.0,11.0,dragon shield matte blue sleeves [100 count],220.0,587.51,,True,True,13414.0,False,44647.0,46410853023964.0,False,48509196337372.0,194,dragon-shield-matte-blue-sleeves-100-count-61ad9d26
Dragon Shield Matte Copper Sleeves [100 Count],,10.0,12.95,0.0,10.49,dragon shield matte copper sleeves [100 count],,,,True,True,15934.0,False,53993.0,46611493552348.0,False,48708819419356.0,195,dragon-shield-matte-copper-sleeves-100-count-8b381617
Dragon Shield Matte Dual Knight Sleeves [100 Count],,0.0,14.99,0.0,21.49,dragon shield matte dual knight sleeves [100 count],,,,True,True,16076.0,False,53972.0,46611493814492.0,False,48708819681500.0,196,dragon-shield-matte-dual-knight-sleeves-100-count-4d7f1093
Dragon Shield Matte Emerald Sleeves [100 Count],,10.0,12.95,0.0,11.75,dragon shield matte emerald sleeves [100 count],,,,True,True,15939.0,False,53989.0,46611493978332.0,False,48708819845340.0,197,dragon-shield-matte-emerald-sleeves-100-count-90f51584
Dragon Shield Matte Forest Green Sleeves [100 Count],,21.0,11.99,20.0,12.25,dragon shield matte forest green sleeves [100 count],269.8,599.5,,True,True,13416.0,False,44649.0,46410820387036.0,False,48509163700444.0,198,dragon-shield-matte-forest-green-sleeves-100-count-3601f589
Dragon Shield Matte Forest Green Sleeves [100 Count],,21.0,11.99,20.0,13.49,dragon shield matte forest green sleeves [100 count],269.8,,,True,False,13416.0,False,44649.0,,False,,199,dragon-shield-matte-forest-green-sleeves-100-count-3601f589
Dragon Shield Matte Gold Sleeves [100 Count],,10.0,12.95,0.0,11.49,dragon shield matte gold sleeves [100 count],,,,True,True,15940.0,False,53988.0,46611496173788.0,False,48708822040796.0,200,dragon-shield-matte-gold-sleeves-100-count-9e802f17
Dragon Shield Matte Jet Sleeves [100 Count],,115.0,11.99,116.0,12.25,dragon shield matte jet sleeves [100 count],219.8,587.51,,True,True,13413.0,False,44646.0,46410853843164.0,False,48509197156572.0,201,dragon-shield-matte-jet-sleeves-100-count-26ed6db2
Dragon Shield Matte Lagoon Sleeves [100 Count],,0.0,14.99,0.0,14.0,dragon shield matte lagoon sleeves [100 count],,,,True,True,16072.0,False,53976.0,46611496829148.0,False,48708822696156.0,202,dragon-shield-matte-lagoon-sleeves-100-count-5b71f8f4
Dragon Shield Matte Lightning Sleeves [100 Count],,0.0,12.99,0.0,11.75,dragon shield matte lightning sleeves [100 count],,,,True,True,16078.0,False,53970.0,46611496960220.0,False,48708822827228.0,203,dragon-shield-matte-lightning-sleeves-100-count-25c06d5c
Dragon Shield Matte Orange Sleeves [100 Count],,28.0,10.95,28.0,10.49,dragon shield matte orange sleeves [100 count],221.8,599.5,,True,True,13415.0,False,44648.0,46410850730204.0,False,48509194043612.0,204,dragon-shield-matte-orange-sleeves-100-count-cce5773b
Dragon Shield Matte Orange Sleeves [100 Count],,28.0,10.95,20.0,11.09,dragon shield matte orange sleeves [100 count],221.8,,,True,False,13415.0,False,44648.0,,False,,205,dragon-shield-matte-orange-sleeves-100-count-cce5773b
Dragon Shield Matte Purple Sleeves [100 Count],,45.0,12.25,45.0,11.75,dragon shield matte purple sleeves [100 count],239.8,599.5,,True,True,13412.0,False,44645.0,46410855481564.0,False,48509198794972.0,206,dragon-shield-matte-purple-sleeves-100-count-5cdfe411
Dragon Shield Matte Purple Sleeves [100 Count],,45.0,12.25,20.0,11.99,dragon shield matte purple sleeves [100 count],239.8,,,True,False,13412.0,False,44645.0,,False,,207,dragon-shield-matte-purple-sleeves-100-count-5cdfe411
Dragon Shield Matte Silver Sleeves [100 Count],,30.0,12.49,29.0,12.75,dragon shield matte silver sleeves [100 count],239.8,599.5,,True,True,13410.0,False,44644.0,46410858070236.0,False,48509201383644.0,208,dragon-shield-matte-silver-sleeves-100-count-149bf504
Dragon Shield Matte Silver Sleeves [100 Count],,30.0,12.49,20.0,11.99,dragon shield matte silver sleeves [100 count],239.8,,,True,False,13410.0,False,44644.0,,False,,209,dragon-shield-matte-silver-sleeves-100-count-149bf504
